num,itemid,name,urllist
1,letvzh,乐迷频道,http://icntv.xyz/letv/lb_lm_1300.m3u8
2,letvzh,乐视垫播,http://icntv.xyz/letv/lb_backup_1000.m3u8
3,letvzh,科教纪录片,http://icntv.xyz/letv/lb_jilu_1300.m3u8
4,letvzh,唐卡,http://icntv.xyz/letv/lb_lb_tangka_1300.m3u8
5,letvzh,文化遗产,http://icntv.xyz/letv/lb_lb_whyc_1300.m3u8
6,letvzh,美克家居 A.R.T★,http://icntv.xyz/letv/lb_mkmj_1300.m3u8
7,letvzh,乐视生态,http://icntv.xyz/letv/lb_lsst_1300.m3u8
8,letvzh,动物世界,http://icntv.xyz/letv/lb_dwsj_1300.m3u8
9,letvzh,综合,http://icntv.xyz/letv/lb_zonghe_1300.m3u8
10,letvzh,综艺,http://icntv.xyz/letv/lb_ent_1300.m3u8
11,letvzh,党建,http://icntv.xyz/letv/lb_dangjian_1300.m3u8
12,letvzh,电影,http://icntv.xyz/letv/lb_movie_1300.m3u8
13,letvzh,电视剧,http://icntv.xyz/letv/lb_tv_1300.m3u8
14,letvzh,1080P,http://icntv.xyz/letv/lb_1080P_1080p3m.m3u8
15,letvzh,乐视动作电影,http://icntv.xyz/letv/lb_dzdy_1300.m3u8
16,letvzh,香港电影,http://icntv.xyz/letv/lb_hkmovie_1300.m3u8
17,letvzh,喜剧电影,http://icntv.xyz/letv/lb_comedy_1300.m3u8
18,letvzh,自制剧,http://icntv.xyz/letv/lb_make_1300.m3u8
19,letvzh,韩剧,http://icntv.xyz/letv/lb_koreatv_1300.m3u8
20,letvzh,跟播,http://icntv.xyz/letv/lb_genbo_1300.m3u8
21,letvzh,4K,http://icntv.xyz/letv/lb_4k.m3u8
22,letvzh,芈月传,http://icntv.xyz/letv/lb_myz_1300.m3u8
23,letvzh,北平无战事,http://icntv.xyz/letv/lb_bpwzs_1300.m3u8
24,letvzh,公开课,http://icntv.xyz/letv/lb_gkk_1300.m3u8
25,letvzh,我是歌手NEW,http://icntv.xyz/letv/lb_imsinger_1300.m3u8
26,letvzh,出彩中国人,http://icntv.xyz/letv/lb_cczgr_1300.m3u8
27,letvzh,笑傲江湖,http://icntv.xyz/letv/lb_xajh_1300.m3u8
28,letvzh,我看你有戏,http://icntv.xyz/letv/lb_bbhll_1300.m3u8
29,letvzh,欢乐喜剧人,http://icntv.xyz/letv/lb_hlxjr_1300.m3u8
30,letvzh,舌尖上的中国,http://icntv.xyz/letv/lb_sjsdzg_1300.m3u8
31,letvzh,黄段子,http://icntv.xyz/letv/lb_hdz_1300.m3u8
