num,itemid,name,urllist
1,香港台,翡翠台高清10801,http://wshls.acgvideo.com/live/live_752869_9917726/playlist.m3u8?wsSecret=f28031532dd9afc281971a07f485e729&wsTime=57af0606
2,香港台,翡翠台高清10802,http://wshls.acgvideo.com/live/live_752869_9917726/playlist.m3u8
3,香港台,翡翠台高清10803,http://anchoredinversion.com/a2/bili.php?id=1213889id=xgtvbfc
4,香港台,翡翠台高清10804,http://wshls.acgvideo.com/live/live_752869_9917726/playlist.m3u8?wsSecret=0c85b7e4adbd07d8fddd69cd417238b4&wsTime=58562dee
5,香港台,广东体育粤语英超HD,http://125.88.92.166:30001/PLTV/88888956/224/3221227703/1.m3u8
6,香港台,凤凰卫视中文,http://my.fmiptv.cc/fmvlive/gehua_live.php?id=2e7b0cade5ee3ba5d5c0140c15d89f80
7,香港台,凤凰卫视资讯,http://my.fmiptv.cc/fmvlive/gehua_live.php?id=bd747d0d316f1287a9ce58cdead7718a
8,香港台,凤凰卫视中文,http://59.110.139.3:8080/wzynx?id=107
9,香港台,凤凰卫视中文,pplive://30089412ecb243f7b6a848a1e4d2a45f
10,香港台,凤凰卫视中文,http://my.fmiptv.cc/fmvlive/gehua_live.php?id=2e7b0cade5ee3ba5d5c0140c15d89f80
11,香港台,凤凰卫视资讯,http://59.110.139.3:8080/wzynx?id=110
12,香港台,凤凰卫视资讯,http://59.110.139.3:8080/wzypy?id=110
13,香港台,凤凰卫视资讯,pplive://08f9ed0afa5a40eab9f325ac8416a941
14,香港台,凤凰卫视资讯,http://my.fmiptv.cc/fmvlive/gehua_live.php?id=bd747d0d316f1287a9ce58cdead7718a
15,香港台,凤凰卫视电影,http://59.110.139.3:8080/wzynx?id=112
16,香港台,凤凰卫视电影,http://tv.cnbeijing.xyz/tvnx.php?id=112
17,香港台,凤凰卫视电影,http://kk.luoke.net.cn/cq/nxtv.php?id=112
18,香港台,凤凰卫视电影,http://kk.luoke.net.cn/hd/nxcatv.php?id=112
19,香港台,TVB星河,http://59.110.139.3:8080/wzypy?id=107
20,香港台,TVB星河,http://59.110.139.3:8080/wzytvpy?id=107
21,香港台,TVB8,http://59.110.139.3:8080/wzynx?id=109
22,香港台,TVB8,http://tv.cnbeijing.xyz/tvnx.php?id=109
23,香港台,TVB8,http://kk.luoke.net.cn/cq/nxtv.php?id=109
24,香港台,TVB8,http://kk.luoke.net.cn/hd/nxcatv.php?id=109
25,香港台,星空卫视,http://59.110.139.3:8080/wzynx?id=108
26,香港台,星空卫视,http://59.110.139.3:8080/wzypy?id=124
27,香港台,星空卫视,http://222.36.5.53:9800/live/xktv.m3u8
28,香港台,星空卫视,http://59.110.139.3:8080/wzytvpy?id=124
29,香港台,星空卫视,http://tv.cnbeijing.xyz/tvnx.php?id=108
30,香港台,星空卫视,http://tv.cnbeijing.xyz/tvpy.php?id=124
31,香港台,星空卫视,http://kk.luoke.net.cn/cq/nxtv.php?id=108
32,香港台,星空卫视,http://kk.luoke.net.cn/hd/nxcatv.php?id=108
33,香港台,星空卫视,http://httpdvb.slave.pygdzhcs.com:13164/playurl?programid=4200000124
34,香港台,星空卫视,http://42.63.204.15:13164/playurl?programid=4200900108&playtype=live&accesstoken=R5883CD68U30648289K7749A285M30F9F2BW273449&qamname=djammon&auth=no
35,香港台,星空卫视电影,http://59.110.139.3:8080/wzynx?id=111
36,香港台,星空卫视电影,http://tv.cnbeijing.xyz/tvnx.php?id=111
37,香港台,星空卫视电影,http://kk.luoke.net.cn/cq/nxtv.php?id=111
38,香港台,星空卫视电影,http://kk.luoke.net.cn/hd/nxcatv.php?id=111
39,香港台,星空卫视电影,http://42.63.204.15:13164/playurl?programid=4200900111&playtype=live&accesstoken=R5883CD68U30648289K7749A285M30F9F2BW273449&qamname=djammon&auth=no
40,香港台,HBO亚洲电影,http://59.110.139.3:8080/wzynx?id=115
41,香港台,HBO亚洲电影,http://kk.luoke.net.cn/cq/nxtv.php?id=115
42,香港台,HBO亚洲电影,http://kk.luoke.net.cn/hd/nxcatv.php?id=115
43,香港台,HBO亚洲电影,http://httpdvb.slave.pygdzhcs.com:13164/playurl?programid=4200000123
44,香港台,HBO亚洲电影,http://42.63.204.15:13164/playurl?programid=4200900115&playtype=live&accesstoken=R5883CD68U30648289K7749A285M30F9F2BW273449&qamname=djammon&auth=no
45,香港台,天映频道,http://59.110.139.3:8080/wzynx?id=116
46,香港台,天映频道,http://kk.luoke.net.cn/cq/nxtv.php?id=116
47,香港台,天映频道,http://kk.luoke.net.cn/hd/nxcatv.php?id=116
48,香港台,天映频道,http://httpdvb.slave.pygdzhcs.com:13164/playurl?programid=4200000105
49,香港台,天映频道,http://42.63.204.15:13164/playurl?programid=4200900116&playtype=live&accesstoken=R5883CD68U30648289K7749A285M30F9F2BW273449&qamname=djammon&auth=no
50,香港台,国家地理,http://59.110.139.3:8080/wzynx?id=114
51,香港台,国家地理,http://tv.cnbeijing.xyz/tvnx.php?id=114
52,香港台,国家地理,http://kk.luoke.net.cn/cq/nxtv.php?id=114
53,香港台,凤凰卫视中文,http://tv.cnbeijing.xyz/tvnx.php?id=107
54,香港台,星空卫视,http://tv.cnbeijing.xyz/tvnx.php?id=108
55,香港台,TVB8,http://tv.cnbeijing.xyz/tvnx.php?id=109
56,香港台,凤凰卫视资讯,http://tv.cnbeijing.xyz/tvnx.php?id=110
57,香港台,美亚电影HD,http://kb1.ottclub.info:443/kitty/c704.stream/playlist.m3u8?a=58802515&b=q5NhVKB9M242IPVp_bZaRA
58,香港台,星卫HD电影,http://kb1.ottclub.info:443/water/c705.stream/playlist.m3u8?a=58802515&b=q5NhVKB9M242IPVp_bZaRA
59,香港台,星空卫视电影,http://tv.cnbeijing.xyz/tvnx.php?id=111
60,香港台,凤凰卫视电影,http://tv.cnbeijing.xyz/tvnx.php?id=112
61,香港台,[V]音乐亚洲,http://tv.cnbeijing.xyz/tvnx.php?id=113
62,香港台,国家地理,http://tv.cnbeijing.xyz/tvnx.php?id=114
63,香港台,HBO亚洲电影,http://tv.cnbeijing.xyz/tvnx.php?id=115
64,香港台,天映频道,http://tv.cnbeijing.xyz/tvnx.php?id=116
65,香港台,CHC高清电影,http://tv.cnbeijing.xyz/tvnx.php?id=121
66,香港台,HOT亚洲影院,http://tv.cnbeijing.xyz/tvnx.php?id=162
67,香港台,HOT欧美影院,http://tv.cnbeijing.xyz/tvnx.php?id=163
68,香港台,HOT精品剧场,http://tv.cnbeijing.xyz/tvnx.php?id=164
69,香港台,新视觉HD,http://tv.cnbeijing.xyz/tvnx.php?id=165
70,香港台,华娱卫视,http://tv.cnbeijing.xyz/tvnx.php?id=106
71,香港台,凤凰视频一台,http://zv.3gv.ifeng.com/live/zixun800k.m3u8 
